cgpa,resume_score,placed
8.14,6.52,1
6.17,5.17,0
8.27,8.86,1
6.88,7.27,1
7.52,7.3,1
8.77,6.19,1
5.34,,0
6.32,6.71,0
7.69,7.12,1
6.18,6.35,0
5.44,6.54,0
6.09,7.01,0
8.5,5.09,1
7.51,6.25,1
8.88,5.93,1
8.04,7.64,1
7.81,8.71,1
5.94,5.88,0
6.75,8.11,1
5.8,8.06,0
6.53,7.64,0
6.16,5.77,0
6.05,7.13,0
8.22,6.18,1
7.76,5.68,1
6.27,6.47,0
5.51,6.15,0
7.46,7.67,1
6.19,7.3,0
7.36,,1
5.92,7.02,0
5.87,7.96,0
8.43,7.73,1
8.87,7.19,1
8.07,7.48,1
8.16,7.56,1
9.05,8.21,1
6.0,8.72,0
7.5,6.19,1
8.25,5.32,1
8.68,5.15,1
6.9,6.91,1
8.21,7.95,1
5.47,5.92,0
8.1,5.44,1
5.83,5.21,0
7.05,8.14,1
5.54,,0
5.46,6.73,0
8.22,,1
6.54,7.39,0
5.9,7.5,0
6.0,,0
5.92,7.18,0
6.94,6.87,1
6.13,6.43,0
6.34,7.21,0
6.47,7.37,0
5.95,7.57,0
5.87,6.64,0
6.89,7.96,1
5.75,8.43,0
8.65,7.58,1
7.93,8.09,1
6.04,8.75,0
8.35,8.02,1
6.59,6.81,1
6.01,,0
8.06,9.06,1
7.12,7.41,1
7.34,,1
7.63,,1
5.76,,0
5.54,7.36,0
6.34,7.94,1
9.4,5.5,1
5.88,6.92,0
5.79,,0
5.27,7.28,0
7.83,7.7,1
6.12,6.72,0
7.92,6.06,1
7.6,8.08,1
5.76,6.49,0
6.72,5.46,0
6.18,,0
5.62,5.05,0
8.07,6.07,1
5.99,7.49,0
5.85,5.56,0
8.28,6.3,1
5.43,6.18,0
9.31,7.39,1
8.01,4.95,1
6.33,6.38,0
8.23,7.76,1
6.65,,0
8.14,,1
6.09,6.61,0
4.5,7.5,0
7.17,6.39,1
6.81,5.76,0
6.58,5.77,0
7.0,5.85,1
5.02,8.79,1
6.22,6.01,1
9.43,7.85,1
5.51,7.72,1
8.66,8.13,1
7.26,4.28,1
9.14,8.23,1
8.2,7.59,1
5.91,5.34,1
5.82,6.4,1
8.06,6.83,0
5.42,8.27,1
7.13,8.93,1
6.29,7.29,1
5.88,5.81,1
7.63,7.83,0
7.34,8.47,0
6.77,,1
5.59,8.13,0
5.5,9.25,1
5.3,7.47,0
7.26,4.35,1
8.57,6.9,1
5.01,,0
6.21,4.93,1
8.28,8.68,1
7.91,,0
9.06,5.29,0
5.97,7.02,1
7.36,3.0,0
5.63,5.06,0
8.74,9.71,1
6.52,6.32,1
7.09,9.63,1
7.75,,0
7.67,8.34,1
8.26,5.95,1
6.21,6.13,0
6.33,6.16,1
7.56,8.08,1
6.11,7.3,1
9.89,5.71,1
7.1,6.15,1
7.4,8.87,0
6.78,7.47,1
7.31,6.51,1
9.01,7.11,1
6.98,8.36,0
7.39,9.69,1
7.81,7.92,1
8.59,6.78,0
7.66,7.99,1
8.85,6.67,1
7.68,4.68,0
5.9,7.95,1
9.08,7.9,1
4.5,8.96,1
8.09,7.01,1
7.12,7.91,0
6.95,7.61,1
8.26,6.08,1
6.72,5.06,1
7.72,6.21,1
6.63,6.32,0
7.88,6.48,1
6.1,8.54,1
7.48,4.9,1
8.86,7.65,1
5.37,6.57,1
5.82,5.16,0
6.42,8.25,0
8.17,4.39,1
6.9,4.72,0
6.65,9.01,1
6.75,,1
7.19,5.48,1
9.66,6.95,1
6.63,7.78,1
8.89,8.75,1
5.89,7.71,1
6.75,5.59,1
5.83,,1
5.91,3.91,1
7.16,7.3,1
6.37,6.32,1
7.54,8.88,1
7.85,,1
6.89,6.33,1
4.5,6.89,0
7.16,8.77,0
5.71,5.92,1
7.06,7.61,0
6.98,9.26,1
8.34,,1
5.74,5.85,1
6.52,,1
7.65,6.27,0
5.03,5.66,0
7.79,5.49,1
7.8,5.43,0
7.53,9.12,1
7.31,4.07,1
5.53,6.23,0
4.5,6.08,1
5.96,5.03,0
7.02,8.11,1
8.42,3.82,0
7.27,7.66,1
6.19,8.11,1
6.18,8.57,0
7.09,,1
8.46,6.47,1
8.55,4.33,0
5.64,,1
5.97,,0
7.32,6.87,1
5.15,7.91,1
8.12,8.14,1
5.96,7.97,0
6.01,7.61,1
7.12,7.41,1
5.63,7.38,1
8.52,7.31,0
6.76,7.06,0
6.55,,1
5.78,5.54,1
6.27,6.37,0
7.97,7.14,1
7.61,6.54,1
7.13,,1
7.56,6.13,1
5.47,7.25,1
8.23,5.61,0
6.59,7.62,1
8.34,6.74,1
6.95,6.34,1
6.24,7.49,0
8.33,4.81,1
7.26,7.2,0
6.07,7.2,1
6.07,9.1,1
6.14,6.38,0
6.23,9.59,1
6.31,6.15,1
9.59,8.45,1
10.0,7.12,1
6.28,4.71,0
7.88,7.39,1
7.44,5.41,0
7.21,8.68,1
6.17,6.96,1
6.14,,1
5.54,6.07,1
8.96,9.3,1
6.82,7.24,0
5.51,6.0,1
7.62,7.46,1
7.67,5.91,1
6.34,7.7,1
5.35,6.2,0
6.04,5.43,0
5.59,,0
6.88,7.16,1
6.11,6.51,1
6.96,6.92,1
6.81,5.24,1
5.97,9.0,0
8.48,7.37,1
7.32,5.46,1
7.66,9.61,1
5.3,6.17,0
5.86,8.15,0
7.57,,1
7.3,6.57,1
7.28,6.52,0
7.28,,1
6.75,5.7,0
6.06,9.21,1
6.56,5.31,1
6.51,7.3,1
7.1,6.17,0
6.78,,1
10.0,8.47,1
7.02,7.29,0
6.5,7.97,1
7.78,3.0,1
7.34,7.72,1
6.99,4.8,0
6.43,5.34,1
4.52,,0
5.83,4.57,0
6.14,8.16,1
6.02,8.91,1
9.76,5.1,0
9.54,5.56,1
7.28,5.62,1
7.36,5.58,1
6.61,5.17,1
9.65,6.56,0
7.85,6.7,0
8.07,7.57,1
5.38,,1
7.22,5.27,1
7.12,5.37,1
7.99,6.16,0
7.12,7.7,1
6.8,6.52,0
8.93,6.45,1
7.53,6.59,1
4.73,5.86,0
10.0,7.95,1
7.12,7.08,0
6.68,7.98,1
7.14,7.49,1
9.69,6.88,1
7.42,,0
6.14,8.26,1
7.8,6.57,1
8.57,6.88,1
6.44,6.64,1
6.96,8.2,1
6.99,7.0,1
8.88,6.89,1
6.73,8.52,1
7.38,,0
7.79,6.79,0
8.04,6.24,1
7.35,8.33,0
9.33,5.39,1
8.13,,1
8.96,8.78,1
6.58,6.92,1
8.03,7.13,1
6.6,6.58,0
6.83,3.57,1
6.51,7.3,1
5.65,5.92,0
7.3,7.18,1
6.81,7.11,1
8.29,8.01,0
5.98,6.01,1
6.18,4.63,0
7.11,7.58,1
7.66,6.25,0
6.56,7.41,1
6.47,8.17,1
7.26,4.68,0
5.53,9.24,1
